一	𛆼 𛅰
是	𛇴 𛆹 𛅵
昼	𛆝
显	𛉃
晒	𛈗
晡	𛉖
晨	𛋙
景	𛇆
晴	𛊭
智	𛊝
暑	𛋱
暖	𛈾
暗	𛈕
曰	𛆴
曲	𛆶
更	𛋫 𛉘 𛈸 𛆃
曹	𛋳 𛊝
曾	𛋳 𛇴 𛆒
替	𛉕 𛆒
最	𛊶
月	𛇃
有	𛈶
朋	𛊘
服	𛈩 𛆖
朗	𛊥
望	𛈈
朝	𛋔 𛊻 𛆦 𛅾
期	𛊻
木	𛇀
未	𛆳 𛆨
本	𛇅
朱	𛉙
机	𛋔
杀	𛇦
权	𛈆
杆	𛇕 𛆣
杉	𛊾
李	𛉄
杏	𛇐
村	𛊌
杠	𛆣
来	𛇤
杨	𛈿
杭	𛊨
杯	𛇲
松	𛉵
板	𛉎
极	𛋔
枉	𛉯 𛈈
枕	𛆻
林	𛇇
枚	𛋉 𛊬
果	𛈅 𛇰
枝	𛈤
枪	𛉱
枯	𛇰
架	𛉌 𛇧
柏	𛇫
柑	𛇕
染	𛊫
柔	𛊢
查	𛉗
柱	𛇭
柳	𛇋
栅	𛈊
标	𛅶
栋	𛊥
树	𛋙 𛈬
校	𛉬
样	𛈍
根	𛆃
格	𛈅
栽	𛇥
桂	𛋫 𛉓
桃	𛊤
案	𛈕
桑	𛈊
桥	𛊻 𛆦
桩	𛈉
桶	𛋒
梁	𛉴
梅	𛋉 𛊬
梦	𛋪
梭	𛇏
梯	𛊏
梳	𛊾
棉	𛊬
棋	𛊻 𛆦
棍	𛋫
棠	𛊤
森	𛇹
棺	𛇕
椅	𛋕
植	𛉓
椒	𛊑
楚	𛉤
楼	𛈰
榜	𛉎
榴	𛇋
榻	𛋥
樟	𛈌
樵	𛉑 𛇭
次	𛇠
欢	𛊧
欧	𛉧
欲	𛉚 𛇄
欺	𛊼 𛇂
歇	𛊗
歌	𛋸 𛋰
正	𛋭 𛇆
此	𛇠 𛆑
步	𛉖
武	𛇯 𛅷
死	𛊅 𛇦
殊	𛋙
残	𛉒
段	𛋇
殷	𛆱
殿	𛋊
母	𛇀
每	𛉟
毑	𛇡
毒	𛋥
比	𛉎
毛	𛇷
毫	𛈨 𛇮
氏	𛆹
民	𛇷
气	𛇬
水	𛅸
汁	𛊐
求	𛆝
汉	𛊧
汗	𛊧
江	𛈌
池	𛋣 𛆑
污	𛉍 𛆱
汤	𛇔 𛆤
汪	𛈈 𛇼
沈	𛆭
沉	𛋳 𛊝
沙	𛊾
沟	𛋂
没	𛆋
河	𛋘 𛊕
沸	𛇣
油	𛊺 𛊢
治	𛊝
沾	𛊀
泉	𛋋 𛈆
法	𛊡
泥	𛈥 𛆰
注	𛉓
泪	𛇟 𛆍
泼	𛇫
洁	𛊐
洋	𛈿
洗	𛅿
洛	𛋝 𛈂
洞	𛆒
洪	𛉢
洲	𛆝
活	𛋶
派	𛈜 𛇢
流	𛇋
浅	𛋋 𛈉
浆	𛈼
浊	𛈱
济	𛉒
浪	𛋈
浮	𛊘
海	𛉝
浸	𛋎
消	𛈨
涨	𛈌
淋	𛇇
淑	𛊼
淡	𛋠
深	𛋙 𛈛
清	𛊭
渊	𛋟
渐	𛋺 𛊻 𛇆
渔	𛊢
渡	𛋥
游	𛊺 𛊢
湖	𛋘 𛇰
湘	𛉵
湾	𛈄 𛆨
源	𛆧
溜	𛇋
滋	𛈤 𛆷
滑	𛇵
滔	𛋃
滚	𛈅
满	𛋪
滩	𛉭
滴	𛆒
漂	𛅶
漏	𛋧
潭	𛋠 𛆒
澡	𛈖
火	𛆕
灯	𛊚 𛆒
灰	𛈣 𛆌
灵	𛉼 𛉀
灶	𛊪
灾	𛊳 𛇥
炉	𛋗
炎	𛋍
炒	𛉤
炕	𛆣
炙	𛊶
炭	𛈃
点	𛉸
炼	𛈏
烘	𛇕
烛	𛅼
烟	𛊫
烦	𛊨 𛇐
烧	𛊼
热	𛈥
焕	𛊧
焦	𛊑
然	𛋋 𛈔 𛆥
煞	𛇦
照	𛉔 𛉓
煮	𛋒 𛆗
熊	𛈾
熟	𛉬
燃	𛆥
燕	𛊂
爪	𛆺
爱	𛋨
父	𛆖
爷	𛉍
爹	𛉍
片	𛇙 𛅶
牙	𛊢
牛	𛊞 𛈰
牡	𛇀
物	𛇵
牲	𛇏
牵	𛈢
犀	𛈨
犁	𛅾
犯	𛊮
状	𛈉
犹	𛊢
狗	𛆄
独	𛋥
狮	𛊸 𛆹
狼	𛊥
猜	𛈟
猪	𛆽
猫	𛋓
玉	𛉚
王	𛆧
玩	𛋅 𛆧
环	𛋅
现	𛋌 𛉃
玻	𛉖
珍	𛆭
珠	𛉙
球	𛆝
理	𛉄
琴	𛊝
瑜	𛆱
璃	𛊎
瓜	𛉊
瓦	𛈪
瓶	𛇛 𛆦
甘	𛇕
甚	𛋐
甜	𛋊
生	𛇏
甥	𛇏
用	𛈍
甫	𛉖
田	𛋊 𛈎
由	𛊢
甲	𛈅
申	𛈛
电	𛋊
男	𛉺
画	𛋶 𛈣
界	𛆅 𛆄
留	𛇋
畜	𛉩
略	𛆜
番	𛆠 𛆌
疆	𛈌
疏	𛊾
病	𛈐
痛	𛋃
痴	𛊼
瘦	𛈗
癞	𛉘
癸	𛈙
登	𛊚 𛆒
白	𛇪
百	𛇫
皂	𛊪 𛈯
的	𛉘
皆	𛉌 𛇧
皇	𛊨
皮	𛇣
皱	𛊪 𛊑
盆	𛊘
盈	𛋍
益	𛇩
盏	𛈖
盐	𛋍
盖	𛉘 𛇧
盘	𛋅
盛	𛈒
目	𛇀
盲	𛇓
直	𛋔 𛋓 𛉓
相	𛊩 𛉵 𛈼 𛇐
省	𛊜 𛇠
眉	𛇷 𛇓
看	𛆣
真	𛆭
眠	𛊬
眯	𛉟 𛇓
眷	𛋺 𛇆
眼	𛋵
着	𛊖
睛	𛉽
睡	𛉅 𛆙
瞒	𛇓
知	𛇟 𛆍
矩	𛆗
短	𛋈 𛋇 𛊥
矮	𛊴
石	𛊍
砌	𛆻
砍	𛉳 𛆣
研	𛈏
砚	𛈏
破	𛉖
硕	𛊗
硬	𛈕
确	𛆄
碑	𛊰
碗	𛊃 𛈕
碟	𛋮
磨	𛊃 𛇀
示	𛆹
礼	𛅹
社	𛊍
祀	𛊖
祁	𛊻
祖	𛊽
祝	𛉫
神	𛋙
祥	𛈽
祭	𛉒 𛈯
祸	𛊓 𛆖
禁	𛊝
禄	𛋗
福	𛋷 𛆖
离	𛊎
禾	𛇯
秀	𛋜
私	𛊸
秋	𛉩
种	𛊪 𛊝 𛉔 𛆻
科	𛋰
租	𛊾
秦	𛉒
秧	𛊫
积	𛊈
称	𛆮 𛆒
移	𛊺 𛇄
稀	𛊼
程	𛈆
稍	𛆿
稳	𛇒
稻	𛋛 𛇼
稽	𛋔
稿	𛋂 𛆄
穀	𛋸
究	𛆝
穷	𛊝
空	𛉲
穿	𛊯
窑	𛊺
窗	𛉱
窝	𛉯 𛉚
窦	𛋥
立	𛇟 𛆍
竖	𛋙
站	𛉓
竟	𛇆
章	𛈌
童	𛊤
端	𛋈 𛋇 𛊥 𛉰
竹	𛊶
竿	𛆃
笋	𛊍 𛉝
笑	𛅿
笔	𛇞
笙	𛇏
笛	𛋮
笠	𛇟
第	𛆒
等	𛉠
筋	𛆭
答	𛋀
策	𛋓
筹	𛆝
签	𛆉
算	𛆢
管	𛊦 𛇕
箭	𛋋
箱	𛉵
篇	𛈐
篙	𛋂
篮	𛋂
篱	𛊎
簪	𛉾
米	𛉟
粉	𛆙
粒	𛆍
粗	𛊾
粟	𛈬
粥	𛉫
粪	𛆙
粮	𛉴
粱	𛉴
精	𛋭 𛉽
糕	𛋂
糠	𛊧
系	𛆱
紧	𛆻
紫	𛆑
纠	𛆝
红	𛉢
约	𛆴 𛅷
级	𛊐
纪	𛉓 𛆺
纱	𛊾
纵	𛈼
纷	𛆙
纸	𛆑
纺	𛋅
线	𛉹
练	𛈏
组	𛊽
细	𛅿
织	𛊐
终	𛈌
绍	𛋙
经	𛉿
绒	𛈿
结	𛊐
给	𛋶
绝	𛋔
绞	𛆝
统	𛊤
绣	𛋜
继	𛉓
绩	𛊈
绪	𛉓
维	𛊄
绵	𛊬
绸	𛉨
综	𛇎
绿	𛆽
缎	𛋇
缘	𛆧
缠	𛊀 𛉉 𛈆
缴	𛆺
缸	𛇕
缽	𛇫
罐	𛇿
网	𛋪
罗	𛊎
罚	𛋶
罪	𛊶
置	𛋔
羊	𛈿
美	𛋪
羞	𛉪
羽	𛅷
翅	𛆑
翠	𛇂
翰	𛊧
翻	𛆠 𛆌
老	𛇽 𛇼
考	𛋰 𛆚 𛆄
者	𛈖 𛆆
而	𛇈
耍	𛉝
耐	𛉈
耕	𛈸 𛆃
耗	𛇮
耳	𛅺
职	𛊐
联	𛈏
聘	𛇲 𛆦
聚	𛇭
聪	𛉱
肉	𛈵
肖	𛈨
肚	𛋥
肝	𛇕
肠	𛊻
股	𛈅 𛇰
肩	𛉿
肯	𛊲 𛇉 𛆚
肿	𛆻
胆	𛉻
背	𛋲 𛇲
胎	𛉇
胖	𛋪 𛈺
胜	𛋐
胞	𛈲
胡	𛋘 𛇮
胸	𛉶
能	𛈷
脂	𛈤
脑	𛇊
脚	𛊐
脱	𛊱
腊	𛋗
腐	𛆖
腔	𛉱
腮	𛇏
腰	𛆱
腹	𛋷 𛊒 𛉖
腾	𛆒
膝	𛊶
自	𛈤
臭	𛈴
至	𛊝
舂	𛋥
舅	𛆝
舍	𛊍 𛉝
舒	𛈬
舜	𛉝
舞	𛅷
般	𛈺
船	𛈒
良	𛉴
色	𛇴
艳	𛈏
节	𛋓
芙	𛇮
芦	𛋗
花	𛈣
芳	𛆠
芹	𛊝
芽	𛊢
苍	𛉱
苏	𛊾
苑	𛈇
苗	𛋓 𛈳
苟	𛆄
若	𛇁
苦	𛇰
英	𛊫 𛊣
范	𛋶
茄	𛊻 𛆦
茅	𛋓 𛈳
茫	𛇓
茶	𛉗
荆	𛋭
草	𛉤
荒	𛊧
荣	𛆧
荫	𛆱
药	𛆱
荷	𛇮
莫	𛋖 𛉟
莲	𛉹
莳	𛅵
菊	𛊐
菌	𛊖
菜	𛈠
萄	𛊤
萎	𛊊
落	𛋝 𛈂
著	𛊖
葛	𛇵
葬	𛉱 𛆢
葱	𛋴
蒋	𛈼
蒙	𛋪 𛇓
蒜	𛆢
蒲	𛉖
蓉	𛈿
蓑	𛊾
蓬	𛊘
蔗	𛊶
蔡	𛈠
蔫	𛋍
蔬	𛊾
蔸	𛋧
蕉	𛊑
薄	𛉖
薯	𛋥
藏	𛈉
虎	𛇰
虑	𛇟 𛆍
虚	𛋐
虽	𛉅 𛆌
蚁	𛅺
蚕	𛋳 𛉑
蛮	𛇓
蛰	𛋔
蜂	𛅶
蜜	𛉟
蝦	𛈣 𛆐
蝴	𛇮
螃	𛋅
融	𛈿
蠢	𛈢
血	𛊗
行	𛊨 𛇐
衔	𛊨
街	𛉌 𛇧
衙	𛊢
衡	𛇐
衣	𛈡 𛆱
补	𛉖 𛆕
表	𛇅
衫	𛇏
袋	𛅻
袍	𛊘
袖	𛊶 𛉨
袜	𛋯
被	𛊰 𛉎 𛇣
裁	𛆏
装	𛈉
裕	𛆱
裙	𛊶 𛊵
裤	𛊶
裳	𛈾
裹	𛉄
襟	𛋔 𛆭
西	𛈨
要	𛇁 𛆴 𛆱 𛆯 𛅺
见	𛇝
观	𛇕
规	𛈘
视	𛆹
觉	𛉫
角	𛉫
解	𛊴
言	𛈔
誓	𛅵
警	𛇆
譬	𛈭
计	𛉓
认	𛅺
讨	𛇻
让	𛈍
训	𛊍
议	𛅺
讯	𛉡
记	𛉔 𛉓
讲	𛈯 𛇗
许	𛋱
论	𛉀
设	𛊗
访	𛋅
证	𛊝
评	𛇛
识	𛊗
诉	𛉅
诊	𛇆
诗	𛊸 𛆹
诚	𛈒
话	𛋶 𛈣
诡	𛈙
该	𛇧
详	𛈽
语	𛆱 𛅺
误	𛊃
请	𛉁
诸	𛊵
读	𛋥
谁	𛉅
调	𛉑 𛅹
谅	𛇖
谈	𛊤
谊	𛅺
谋	𛉟
谓	𛆨
谢	𛋮
谷	𛋸
豆	𛋛
象	𛊪
豪	𛇮
豹	𛆦
贝	𛊰
贞	𛆭
负	𛊓 𛆖
财	𛆏
责	𛋓
贤	𛊁
败	𛇣
贪	𛋃 𛆤
贫	𛊘
贯	𛆣
贱	𛋋
贴	𛉐
贵	𛋫
费	𛋻 𛇳 𛆌
贺	𛆖
贼	𛈤
赋	𛆖
赌	𛋦 𛊽
赎	𛋙 𛈬
赏	𛊤
赐	𛆹
赔	𛊘 𛇲
赖	𛉘
赠	𛉑
赢	𛋍 𛆧
赦	𛊍
走	𛈖
赴	𛈩
赵	𛉔 𛉓
